desig,User Pedon ID                 ,Top Depth,Bottom Depth
Cg,1957ND069765                  ,152,168
Btg1,1959MN149515                  ,36,56
Btg2,1959MN149515                  ,56,76
A1,1959MN149526                  ,20,51
A2,1959MN149526                  ,51,94
A1,1959ND031013                  ,0,23
A2,1959ND031013                  ,23,41
Cg,1959ND031013                  ,122,152
A1,1963MN149510                  ,0,36
A2,1963MN149510                  ,36,48
Btg1,1963MN149510                  ,48,81
Btg2,1963MN149510                  ,81,91
BCg,1963SD089001                  ,66,97
Btg1,1963SD089001                  ,13,36
Btg2,1963SD089001                  ,36,66
Cg,1963SD089001                  ,97,152
Btg1,1964ND081500                  ,28,51
Btg2,1964ND081500                  ,51,99
Btg1,1967ND015309                  ,13,28
Btg2,1967ND015309                  ,28,43
Cg,1967ND015309                  ,43,152
BCg,1970ND101310                  ,91,114
Btg1,1970ND103302                  ,48,69
Btg2,1970ND103302                  ,69,91
Cg,1970ND103302                  ,114,152
A1,1970SD091205                  ,0,15
A2,1970SD091205                  ,15,33
A1,1972MN121500                  ,0,28
A2,1972MN121500                  ,28,36
Btg1,1972MN121500                  ,46,61
Btg2,1972MN121500                  ,61,76
Btg1,1972SD045309                  ,15,23
Btg2,1972SD045309                  ,23,46
Cg,1972SD045309                  ,122,152
Btg1,1974SD089001                  ,18,33
Btg2,1974SD089001                  ,33,66
Cg,1974SD089001                  ,114,152
Btg1,1975ND055309                  ,20,51
Btg2,1975ND055309                  ,51,97
Btg1,1975ND069015                  ,20,61
Btg2,1975ND069015                  ,61,117
Cg,1975ND069015                  ,117,152
A1,1976ND071001                  ,4,27
A2,1976ND071001                  ,27,45
BCg,1976ND071001                  ,68,106
Btg1,1976ND071001                  ,45,52
Btg2,1976ND071001                  ,52,68
Btg1,1977SD051008                  ,28,41
Btg2,1977SD051008                  ,41,102
Cg,1977SD051008                  ,137,152
A1,1977SD109500                  ,0,15
A2,1977SD109500                  ,15,46
Btg1,1977SD109500                  ,46,84
Btg2,1977SD109500                  ,84,97
A1,1978MN051500                  ,23,36
A2,1978MN051500                  ,36,48
Btg1,1978MN051500                  ,48,91
Btg2,1978MN051500                  ,91,104
Btg1,1978SD021310                  ,41,64
Btg2,1978SD021310                  ,64,122
Cg,1978SD021310                  ,122,152
A1,1978SD089001                  ,0,13
A2,1978SD089001                  ,13,28
Btg1,1978SD089001                  ,28,76
Btg2,1978SD089001                  ,76,91
BCg,1978SD089002                  ,64,81
Btg1,1978SD089002                  ,8,25
Btg2,1978SD089002                  ,25,64
Cg,1978SD089002                  ,81,117
A1,1979ND029310                  ,0,15
A2,1979ND029310                  ,15,23
Btg1,1979ND029310                  ,23,46
Btg2,1979ND029310                  ,46,99
Cg,1980ND019004                  ,117,155
A1,1980ND019006                  ,3,18
A2,1980ND019006                  ,18,39
Btg1,1980SD089311                  ,33,66
Btg2,1980SD089311                  ,66,114
Cg,1980SD089311                  ,114,152
Btg1,1982MN155040                  ,41,84
Btg2,1982MN155040                  ,84,117
BCg,1982SD049310                  ,84,127
Btg1,1982SD049310                  ,15,33
Btg2,1982SD049310                  ,33,84
Cg,1982SD049310                  ,127,152
A1,1983ND019001                  ,5,35
A2,1983ND019001                  ,35,51
Cg,1983SD013501                  ,137,152
A1,1983SD039003                  ,0,25
A2,1983SD039003                  ,25,43
Btg1,1983SD039003                  ,43,66
Btg2,1983SD039003                  ,66,109
Cg,1983SD039003                  ,109,152
Btg1,1984MN011001                  ,51,94
Btg2,1984MN011001                  ,94,127
Cg,1984MN011001                  ,127,152
A1,1984MN011517                  ,0,30
A2,1984MN011517                  ,30,66
Btg1,1984MN011517                  ,66,104
Btg2,1984MN011517                  ,104,147
Cg,1984MN011517                  ,147,152
Btg1,1984MN011518                  ,64,112
Btg2,1984MN011518                  ,112,147
Cg,1984MN011518                  ,147,200
Btg1,1984MN011521                  ,74,99
Btg2,1984MN011521                  ,99,127
Cg,1984MN011521                  ,127,200
Btg1,1985ND043309                  ,18,46
Btg2,1985ND043309                  ,46,74
Cg,1985ND043309                  ,107,152
A1,1985SD057004                  ,0,25
A2,1985SD057004                  ,25,46
Btg1,1985SD057004                  ,46,71
Btg2,1985SD057004                  ,71,97
A1,1986ND093302                  ,0,20
A2,1986ND093302                  ,20,41
A1,1986SD037003                  ,0,15
A2,1986SD037003                  ,15,43
Btg1,1986SD037003                  ,43,69
Btg2,1986SD037003                  ,69,97
A1,1987ND049302                  ,2,15
A2,1987ND049302                  ,15,33
Btg1,1987ND095003                  ,69,94
Btg2,1987ND095003                  ,94,114
Btg1,1987SD077009                  ,25,43
Btg2,1987SD077009                  ,43,74
Cg,1987SD077009                  ,122,152
A1,1988ND061309                  ,0,20
A2,1988ND061309                  ,20,28
BCg,1988ND061309                  ,76,152
Btg1,1989MN167500                  ,61,91
Btg2,1989MN167500                  ,91,152
BCg,1989ND021302                  ,104,152
Btg1,1989ND047001                  ,18,46
Btg2,1989ND047001                  ,46,132
A1,1990ND031301                  ,0,10
A2,1990ND031301                  ,10,23
A1,1990ND083306                  ,0,18
A2,1990ND083306                  ,18,33
BCg,1990ND083306                  ,94,142
Cg,1990ND083306                  ,142,152
A1,1991SD011038                  ,0,25
A2,1991SD011038                  ,25,43
Btg1,1991SD011038                  ,43,69
Btg2,1991SD011038                  ,69,114
A1,1991SD115001                  ,0,18
A2,1991SD115001                  ,18,28
Btg1,1991SD115001                  ,28,41
Btg2,1991SD115001                  ,41,71
Cg,1991SD115001                  ,175,200
Btg1,1991SD115023                  ,15,56
Btg2,1991SD115023                  ,56,124
Btg1,1992ND073011                  ,43,61
Btg2,1992ND073011                  ,61,97
Btg1,1992SD025023                  ,41,58
Btg2,1992SD025023                  ,58,112
Cg,1992SD025023                  ,112,152
Btg1,1994MN151004                  ,79,178
Btg2,1994MN151004                  ,178,203
Btg1,1994MN151005                  ,36,89
Btg2,1994MN151005                  ,89,99
Cg,1994MN151005                  ,99,203
Btg1,1994MN151013                  ,46,74
Btg2,1994MN151013                  ,74,203
Btg1,1994MN151015                  ,38,64
Btg2,1994MN151015                  ,64,102
Btg1,1994MN151031                  ,76,102
Btg2,1994MN151031                  ,102,122
A1,1995MN151016                  ,25,53
A2,1995MN151016                  ,53,89
Btg1,1995MN151029                  ,43,74
Btg2,1995MN151029                  ,74,137
A1,1995MN151035                  ,25,61
A2,1995MN151035                  ,61,86
Cg,1995MN151035                  ,132,203
Btg1,1995MN151039                  ,56,81
Btg2,1995MN151039                  ,81,102
Btg1,1995MN151040                  ,46,79
Btg2,1995MN151040                  ,79,104
Btg1,1995MN151053                  ,43,61
Btg2,1995MN151053                  ,61,76
Btg1,1997MN073500                  ,46,69
Btg2,1997MN073500                  ,69,97
Btg1,1998MN151167                  ,28,64
Btg2,1998MN151167                  ,64,89
Btg1,2001MN111500                  ,46,81
Btg2,2001MN111500                  ,81,107
Cg,2001MN111500                  ,127,152
Cg,2005ND101122                  ,84,102
Cg,2006MN083085                  ,124,152
Cg,2006MN173001                  ,158,203
Cg,2007MN073108                  ,122,152
A1,2007MN073122                  ,0,25
A2,2007MN073122                  ,0,25
Cg,2007MN073122                  ,132,152
A1,2007MN073145                  ,0,25
A2,2007MN073145                  ,25,66
Btg1,2007MN073145                  ,66,89
Btg2,2007MN073145                  ,86,117
Cg,2007MN073145                  ,117,152
Cg,2007MN073180                  ,99,152
Btg1,2007MN073193                  ,46,69
Btg2,2007MN073193                  ,69,97
A1,2016SD089166                  ,0,38
A2,2016SD089166                  ,38,56
BCg,2016SD089166                  ,140,152
Btg1,2016SD089166                  ,56,81
Btg2,2016SD089166                  ,81,140
Btg1,2019ND005180                  ,34,50
Btg2,2019ND005180                  ,50,107
Btg1,2019ND063001                  ,25,88
Btg2,2019ND063001                  ,88,100
Cg,2019ND071142                  ,60,100
A1,2019ND079010                  ,0,50
A2,2019ND079010                  ,50,98
A1,2019ND079052                  ,8,35
A2,2019ND079052                  ,35,58
Cg,2019ND079052                  ,71,110
A1,2019ND095261                  ,0,20
A2,2019ND095261                  ,20,45
Cg,2019ND095261                  ,90,110
Cg,2019ND095270                  ,51,110
Btg1,2020ND023040                  ,30,95
Btg2,2020ND023040                  ,95,110
Btg1,2020ND023042                  ,29,80
Btg2,2020ND023042                  ,80,100
BCg,2020ND023070                  ,104,120
Btg1,2020ND023070                  ,38,68
Btg2,2020ND023070                  ,68,104
Btg1,2020ND023080                  ,30,65
Btg2,2020ND023080                  ,65,90
A1,2020ND023082                  ,0,24
A2,2020ND023082                  ,24,42
Btg1,2020ND023082                  ,42,70
Btg2,2020ND023082                  ,70,125
Cg,2020ND023130                  ,83,155
Cg,2020ND023131                  ,46,93
Cg,2020ND023132                  ,60,110
A1,2020ND023162                  ,0,25
A2,2020ND023162                  ,25,45
A1,2020ND023232                  ,7,14
A2,2020ND023232                  ,14,28
Btg1,2020ND023232                  ,28,45
Btg2,2020ND023232                  ,45,100
Btg1,2020ND045020                  ,35,53
Btg2,2020ND045020                  ,53,105
Cg,2020ND047062                  ,78,110
A1,2020ND055030                  ,0,30
A2,2020ND055030                  ,30,40
Btg1,2020ND055030                  ,40,60
Btg2,2020ND055030                  ,60,110
Btg1,2020ND055121                  ,29,40
Btg2,2020ND055121                  ,40,96
BCg,2020ND055122                  ,90,100
A1,2020ND055131                  ,5,20
A2,2020ND055131                  ,20,51
Btg1,2020ND055131                  ,51,109
Btg2,2020ND055131                  ,109,150
A1,2020ND061020                  ,5,22
A2,2020ND061020                  ,22,50
Cg,2020ND061020                  ,70,100
Cg,2020ND061042                  ,98,120
A1,2020ND061130                  ,0,10
A2,2020ND061130                  ,10,28
BCg,2020ND061130                  ,165,175
A1,2020ND061140                  ,4,25
A2,2020ND061140                  ,25,73
Btg1,2020ND083010                  ,80,95
Btg2,2020ND083010                  ,95,130
Btg1,2020ND083090                  ,34,54
Btg2,2020ND083090                  ,54,70
Btg1,2020ND083130                  ,30,110
Btg2,2020ND083130                  ,110,130
Btg1,2020ND093102                  ,30,65
Btg2,2020ND093102                  ,65,105
Btg1,2020ND095013                  ,40,65
Btg2,2020ND095013                  ,65,100
A1,2020ND101020                  ,0,36
A2,2020ND101020                  ,36,51
Btg1,2020ND101020                  ,51,109
Btg2,2020ND101020                  ,109,150
Cg,2020ND101032                  ,70,100
A1,2020ND101053                  ,0,10
A2,2020ND101053                  ,10,65
Cg,2020ND101053                  ,130,150
Cg,2020ND101172                  ,98,150
Cg,2021ND063102                  ,53,120
Btg1,2021ND071001                  ,25,60
Btg2,2021ND071001                  ,60,115
A1,2021ND093007                  ,0,30
A2,2021ND093007                  ,30,70
Btg1,2021ND093007                  ,70,105
Btg2,2021ND093007                  ,105,110
Btg1,2021ND099022                  ,50,70
Btg2,2021ND099022                  ,70,130
Cg,2021ND099180                  ,64,130
Cg,2021ND099220                  ,90,130
A1,2021ND099272                  ,5,30
A2,2021ND099272                  ,30,82
Btg1,2021ND101002                  ,55,76
Btg2,2021ND101002                  ,76,100
A1,56ND081004                    ,3,15
A2,56ND081004                    ,15,28
A1,56ND081008                    ,0,20
A2,56ND081008                    ,20,28
Cg,56ND081008                    ,117,152
Cg,85ND005511                    ,117,218
Btg1,85ND005512                    ,64,142
Btg2,85ND005512                    ,142,213
A1,88ND053073                    ,0,5
A2,88ND053073                    ,5,18
A1,C0707P05-2                    ,0,5
A2,C0707P05-2                    ,5,20
Btg1,C0707P05-2                    ,20,30
Btg2,C0707P05-2                    ,30,60
A1,C0707P05-3                    ,0,5
A2,C0707P05-3                    ,5,20
Btg1,C0707P05-3                    ,20,55
Btg2,C0707P05-3                    ,55,70
A1,C0707P05-5                    ,0,5
A2,C0707P05-5                    ,5,16
Btg1,C0707P05-5                    ,16,31
Btg2,C0707P05-5                    ,31,55
A1,C0707W05-4                    ,0,5
A2,C0707W05-4                    ,5,14
A1,C0707W05-5                    ,0,5
A2,C0707W05-5                    ,5,11
Cg,C0707W05-5                    ,90,100
A1,C0707X02-4                    ,0,5
A2,C0707X02-4                    ,5,20
Btg1,C0707X02-4                    ,20,35
Btg2,C0707X02-4                    ,35,51
A1,S1959ND079762                 ,5,20
A2,S1959ND079762                 ,20,38
A1,S1966MN121954                 ,0,38
A2,S1966MN121954                 ,38,56
BCg,S1966MN121954                 ,140,203
Btg1,S1966MN121954                 ,56,81
Btg2,S1966MN121954                 ,81,140
A1,S1971MN0831294                ,0,15
A2,S1971MN0831294                ,15,28
Btg1,S1971MN0831294                ,43,94
Btg2,S1971MN0831294                ,94,109
Cg,S1971MN0831294                ,137,152
A1,S1971MN1111257                ,18,36
A2,S1971MN1111257                ,36,51
BCg,S1971MN1111257                ,99,152
Btg1,S1971MN1111257                ,51,81
Btg2,S1971MN1111257                ,81,99
A1,S1993MN111001                 ,0,15
A2,S1993MN111001                 ,15,39
Btg1,S1993MN111001                 ,97,136
Btg2,S1993MN111001                 ,136,175
A1,S1993MN111002                 ,14,44
A2,S1993MN111002                 ,44,67
Btg1,S1993MN111002                 ,67,88
Btg2,S1993MN111002                 ,88,102
BCg,S2011ND071001                 ,87,110
Cg,S2011ND071001                 ,110,180
BCg,S2011ND071002                 ,92,150
Btg1,S2011ND071002                 ,50,75
Btg2,S2011ND071002                 ,75,92
A1,S2015ND093026                 ,2,18
A2,S2015ND093026                 ,18,36
Btg1,S2015ND093026                 ,36,75
Btg2,S2015ND093026                 ,75,100
A1,S2016ND083001                 ,0,16
A2,S2016ND083001                 ,16,37
A1,S2017ND093063                 ,0,27
A2,S2017ND093063                 ,27,40
Btg1,S2017ND093063                 ,40,57
Btg2,S2017ND093063                 ,57,80
Cg,S2017ND093063                 ,80,100
