desig ,User Pedon ID                 ,Top Depth,Bottom Depth
Btg1        ,1992SD025023                  ,0,152
Btg1        ,1994MN151004                  ,0,203
Btg2        ,1994MN151004                  ,79,203
Cg          ,1994MN151005                  ,36,99
Btg1        ,1994MN151005                  ,0,99
Btg2        ,1994MN151005                  ,36,99
Btg1        ,1994MN151013                  ,46,203
Btg2        ,1994MN151013                  ,46,203
Btg1        ,1994MN151015                  ,38,102
Btg2        ,1994MN151015                  ,0,64
Btg2        ,1994MN151031                  ,76,203
Btg1        ,1994MN151031                  ,76,203
A1          ,1995MN151016                  ,0,137
A2          ,1995MN151016                  ,0,137
Btg2        ,1995MN151029                  ,0,74
Btg1        ,1995MN151029                  ,43,137
A1          ,1995MN151035                  ,0,86
Cg          ,1995MN151035                  ,86,132
A2          ,1995MN151035                  ,86,132
Btg1        ,1995MN151039                  ,56,135
Btg2        ,1995MN151039                  ,0,81
Btg2        ,1995MN151040                  ,46,104
Btg1        ,1995MN151040                  ,46,104
Btg2        ,1995MN151053                  ,43,76
Btg1        ,1995MN151053                  ,0,76
Btg1        ,1997MN073500                  ,0,69
Btg2        ,1997MN073500                  ,0,69
Btg1        ,1998MN151167                  ,28,89
Btg2        ,1998MN151167                  ,0,64
Btg2        ,2001MN111500                  ,46,127
Btg1        ,2001MN111500                  ,0,107
Cg          ,2001MN111500                  ,46,127
Cg          ,2005ND101122                  ,0,84
Cg          ,2006MN083085                  ,0,124
Cg          ,2006MN173001                  ,0,64
Cg          ,2007MN073108                  ,46,122
A1          ,2007MN073122                  ,0,71
Cg          ,2007MN073122                  ,71,132
A2          ,2007MN073122                  ,71,132
Cg          ,2007MN073145                  ,66,117
Btg2        ,2007MN073145                  ,0,89
A1          ,2007MN073145                  ,0,89
A2          ,2007MN073145                  ,0,89
Btg1        ,2007MN073145                  ,0,89
Cg          ,2007MN073180                  ,0,61
Btg2        ,2007MN073193                  ,46,97
Btg1        ,2007MN073193                  ,46,97
BCg         ,2016SD089166                  ,0,152
Btg2        ,2016SD089166                  ,0,152
Btg1        ,2016SD089166                  ,0,152
A2          ,2016SD089166                  ,0,152
A1          ,2016SD089166                  ,0,152
Btg2        ,2019ND005180                  ,34,107
Btg1        ,2019ND005180                  ,3,107
Btg2        ,2019ND063001                  ,0,25
Btg1        ,2019ND063001                  ,0,25
Cg          ,2019ND071142                  ,50,100
A2          ,2019ND079010                  ,0,100
A1          ,2019ND079010                  ,0,100
A1          ,2019ND079052                  ,8,71
A2          ,2019ND079052                  ,71,110
Cg          ,2019ND079052                  ,8,71
Cg          ,2019ND095261                  ,90,110
A2          ,2019ND095261                  ,0,110
A1          ,2019ND095261                  ,0,45
Cg          ,2019ND095270                  ,0,110
Btg2        ,2020ND023040                  ,0,110
Btg1        ,2020ND023040                  ,0,110
Btg2        ,2020ND023042                  ,0,100
Btg1        ,2020ND023042                  ,0,100
BCg         ,2020ND023070                  ,0,120
Btg2        ,2020ND023070                  ,38,104
Btg1        ,2020ND023070                  ,0,120
Btg2        ,2020ND023080                  ,90,150
Btg1        ,2020ND023080                  ,0,150
Btg2        ,2020ND023082                  ,0,125
Btg1        ,2020ND023082                  ,0,125
A1          ,2020ND023082                  ,42,125
A2          ,2020ND023082                  ,0,125
Cg          ,2020ND023130                  ,83,155
Cg          ,2020ND023131                  ,0,111
Cg          ,2020ND023132                  ,0,110
A2          ,2020ND023162                  ,0,100
A1          ,2020ND023162                  ,0,100
A2          ,2020ND023232                  ,0,28
Btg2        ,2020ND023232                  ,0,28
Btg1        ,2020ND023232                  ,0,28
A1          ,2020ND023232                  ,28,100
Btg1        ,2020ND045020                  ,0,105
Btg2        ,2020ND045020                  ,0,53
Cg          ,2020ND047062                  ,0,110
Btg1        ,2020ND055030                  ,0,150
A1          ,2020ND055030                  ,40,110
A2          ,2020ND055030                  ,0,150
Btg2        ,2020ND055030                  ,110,150
Btg1        ,2020ND055121                  ,29,96
Btg2        ,2020ND055121                  ,29,100
BCg         ,2020ND055122                  ,0,100
A1          ,2020ND055131                  ,77,120
Btg2        ,2020ND055131                  ,77,120
Btg1        ,2020ND055131                  ,0,120
A2          ,2020ND055131                  ,77,120
A2          ,2020ND061020                  ,50,70
A1          ,2020ND061020                  ,22,100
Cg          ,2020ND061020                  ,22,100
Cg          ,2020ND061042                  ,0,120
A1          ,2020ND061130                  ,0,60
BCg         ,2020ND061130                  ,0,175
A2          ,2020ND061130                  ,165,175
A1          ,2020ND061140                  ,0,73
A2          ,2020ND061140                  ,73,96
Btg1        ,2020ND083010                  ,80,130
Btg2        ,2020ND083010                  ,0,80
Btg1        ,2020ND083090                  ,0,100
Btg2        ,2020ND083090                  ,0,100
