desig,User Pedon ID                 ,Top Depth,Bottom Depth
BCg,2020ND061130                  ,165,175
A1,2020ND061130                  ,0,10
A1,2020ND061140                  ,4,25
Oi,2020ND061140                  ,0,4
2Btg,2020ND061140                  ,73,96
2BCg,2020ND061140                  ,96,168
A2,2020ND061140                  ,25,73
2Cyz,2020ND061140                  ,168,180
Bt1,2020ND071010                  ,38,74
Bt2,2020ND071010                  ,74,100
A,2020ND071010                  ,10,38
Oa,2020ND071010                  ,0,10
A,2020ND083010                  ,18,80
Btg2,2020ND083010                  ,95,130
Oa,2020ND083010                  ,0,18
Btg1,2020ND083010                  ,80,95
Ap,2020ND083062                  ,0,18
Bk,2020ND083062                  ,75,90
2BCk,2020ND083062                  ,90,110
Bt,2020ND083062                  ,18,75
Btk,2020ND083090                  ,70,84
Btg2,2020ND083090                  ,54,70
A,2020ND083090                  ,10,34
Oa,2020ND083090                  ,0,10
BC,2020ND083090                  ,84,100
Btg1,2020ND083090                  ,34,54
Btg2,2020ND083130                  ,110,130
Btg1,2020ND083130                  ,30,110
Oa,2020ND083130                  ,0,5
A,2020ND083130                  ,5,30
Btg,2020ND083131                  ,22,73
Bkg,2020ND083131                  ,73,115
A,2020ND083131                  ,0,22
Bt1,2020ND093012                  ,40,68
C,2020ND093012                  ,100,120
Bt2,2020ND093012                  ,68,84
Btg,2020ND093012                  ,84,100
A,2020ND093012                  ,0,40
A,2020ND093102                  ,7,30
Btg2,2020ND093102                  ,65,105
Btg1,2020ND093102                  ,30,65
Oa,2020ND093102                  ,0,7
Oa,2020ND093120                  ,0,5
Btg,2020ND093120                  ,35,110
A,2020ND093120                  ,5,35
Bt2,2020ND095012                  ,75,100
Oe,2020ND095012                  ,0,5
Bt1,2020ND095012                  ,50,75
A,2020ND095012                  ,5,50
A,2020ND095013                  ,15,40
Oa,2020ND095013                  ,0,15
Btg2,2020ND095013                  ,65,100
Btg1,2020ND095013                  ,40,65
A2,2020ND101020                  ,36,51
Btg1,2020ND101020                  ,51,109
Btg2,2020ND101020                  ,109,150
A1,2020ND101020                  ,0,36
Bt,2020ND101032                  ,20,45
A,2020ND101032                  ,5,20
Cg,2020ND101032                  ,70,100
Oe,2020ND101032                  ,0,5
Btkg,2020ND101032                  ,45,70
A2,2020ND101053                  ,10,65
A3,2020ND101053                  ,65,105
Cg,2020ND101053                  ,130,150
A1,2020ND101053                  ,0,10
Btg,2020ND101053                  ,105,130
Oa,2020ND101070                  ,0,2
BCkg,2020ND101070                  ,125,150
Bt1,2020ND101070                  ,27,48
Bt2,2020ND101070                  ,48,125
A,2020ND101070                  ,2,27
Oe,2020ND101170                  ,0,2
Bt1,2020ND101170                  ,19,34
Bt2,2020ND101170                  ,34,100
A,2020ND101170                  ,2,19
A,2020ND101172                  ,0,30
Btg,2020ND101172                  ,30,98
Cg,2020ND101172                  ,98,150
Btg,2021ND015002                  ,20,80
A,2021ND015002                  ,0,20
A,2021ND019291                  ,10,35
Bkg,2021ND019291                  ,60,100
Btg,2021ND019291                  ,35,60
Oa,2021ND019291                  ,0,10
A,2021ND019421                  ,3,15
Bg,2021ND019421                  ,40,120
Oa,2021ND019421                  ,0,3
Btg,2021ND019421                  ,15,40
Oa,2021ND019562                  ,0,15
A,2021ND019562                  ,15,100
Oa,2021ND051008                  ,0,38
A,2021ND051008                  ,38,64
Btg,2021ND051008                  ,64,115
Ap,2021ND063102                  ,0,12
Cg,2021ND063102                  ,53,120
Bt,2021ND063102                  ,12,53
Btg1,2021ND071001                  ,25,60
Btg2,2021ND071001                  ,60,115
A,2021ND071001                  ,0,25
Btg,2021ND071040                  ,25,65
Bkg,2021ND071040                  ,65,95
2C,2021ND071040                  ,95,105
Ap,2021ND071040                  ,0,25
A,2021ND083008                  ,0,30
Btg,2021ND083008                  ,30,110
A2,2021ND093007                  ,30,70
Btg1,2021ND093007                  ,70,105
A1,2021ND093007                  ,0,30
Btg2,2021ND093007                  ,105,110
A,2021ND093008                  ,0,35
Btg,2021ND093008                  ,35,100
Btg2,2021ND099022                  ,70,130
A,2021ND099022                  ,0,50
Btg1,2021ND099022                  ,50,70
Cg,2021ND099180                  ,64,130
A,2021ND099180                  ,12,40
Oa,2021ND099180                  ,0,12
Btg,2021ND099180                  ,40,64
Cg,2021ND099220                  ,90,130
Oa,2021ND099220                  ,0,10
A,2021ND099220                  ,10,36
Btg,2021ND099220                  ,60,90
Bt,2021ND099220                  ,36,60
A1,2021ND099272                  ,5,30
Bt,2021ND099272                  ,82,110
A2,2021ND099272                  ,30,82
Oa,2021ND099272                  ,0,5
Bt,2021ND099292                  ,66,100
Oa,2021ND099292                  ,0,10
A,2021ND099292                  ,10,66
Oa,2021ND101002                  ,0,8
A,2021ND101002                  ,8,55
Btg2,2021ND101002                  ,76,100
Btg1,2021ND101002                  ,55,76
Ag2,2021ND101005                  ,20,95
Bg,2021ND101005                  ,95,110
Ag1,2021ND101005                  ,0,20
Bt3,56ND081004                    ,86,114
Bt2,56ND081004                    ,58,86
C2,56ND081004                    ,130,142
Bt1,56ND081004                    ,28,58
Oe,56ND081004                    ,0,3
C1,56ND081004                    ,114,130
A2,56ND081004                    ,15,28
2Cg,56ND081004                    ,142,155
A1,56ND081004                    ,3,15
Bkg,56ND081008                    ,99,117
A2,56ND081008                    ,20,28
Cg,56ND081008                    ,117,152
Bw2,56ND081008                    ,76,99
Bw1,56ND081008                    ,51,76
A1,56ND081008                    ,0,20
Bt,56ND081008                    ,28,51
A,84ND063504                    ,0,15
C2,84ND063504                    ,97,107
Bw2,84ND063504                    ,56,76
Bt1,84ND063504                    ,20,30
Bw1,84ND063504                    ,46,56
E,84ND063504                    ,15,20
C1,84ND063504                    ,76,97
Bt2,84ND063504                    ,30,46
Ag,85ND005511                    ,0,33
Btg,85ND005511                    ,33,117
OC,85ND005511                    ,13,0
Cg,85ND005511                    ,117,218
Btg1,85ND005512                    ,64,142
Ag,85ND005512                    ,0,64
OC,85ND005512                    ,19,0
Btg2,85ND005512                    ,142,213
OC,85ND005513                    ,25,0
Btg,85ND005513                    ,71,206
A,85ND005513                    ,0,71
Btkg2,85ND043503                    ,155,213
Oc,85ND043503                    ,19,0
Ag,85ND043503                    ,0,71
Btkg1,85ND043503                    ,71,155
Btkg,85ND043504                    ,64,213
BE,85ND043504                    ,38,64
Ag,85ND043504                    ,0,38
Oc,85ND043504                    ,19,0
Btkg,85ND043505                    ,74,213
Ag,85ND043505                    ,0,61
BEg,85ND043505                    ,61,74
Oc,85ND043505                    ,19,0
Ap,85ND047507                    ,0,20
Bt,85ND047507                    ,84,229
A,85ND047507                    ,20,84
O,85ND083608                    ,13,0
Bt,85ND083608                    ,71,229
A,85ND083608                    ,0,71
O,85ND083609                    ,8,0
Bt1,85ND083609                    ,76,193
AB,85ND083609                    ,51,76
A,85ND083609                    ,0,51
Bt2,85ND083609                    ,193,229
Ag,85ND093526                    ,0,51
Btg,85ND093526                    ,51,229
O,85ND093526                    ,13,0
O,85ND093527                    ,13,0
Bt2,85ND093527                    ,155,229
A,85ND093527                    ,0,104
Bt1,85ND093527                    ,104,155
Btg,85ND093529                    ,76,229
A,85ND093529                    ,0,76
O,85ND093529                    ,19,0
Bt,85ND093530                    ,71,229
O,85ND093530                    ,19,0
A,85ND093530                    ,0,71
Bt,88ND053073                    ,18,114
A1,88ND053073                    ,0,5
A2,88ND053073                    ,5,18
Oa,92ND023156                    ,0,13
Bt,92ND023156                    ,40,55
2Cg2,92ND023156                    ,172,330
A,92ND023156                    ,13,40
Bkg1,92ND023156                    ,80,107
Bkg2,92ND023156                    ,107,160
Bk1,92ND023156                    ,25,50
Btg,92ND023156                    ,55,80
Bk2,92ND023156                    ,50,90
Cg1,92ND023156                    ,160,172
Bt1,96ND093525                    ,97,130
A,96ND093525                    ,0,97
O,96ND093525                    ,10,0
Bt2,96ND093525                    ,130,229
Btg3,C0707P05-2                    ,60,90
A,C0707P05-2                    ,0,20
Btg2,C0707P05-2                    ,30,60
A1,C0707P05-2                    ,0,5
BC,C0707P05-2                    ,90,100
Btg1,C0707P05-2                    ,20,30
A2,C0707P05-2                    ,5,20
Btg2,C0707P05-3                    ,55,70
2Cg,C0707P05-3                    ,85,100
A1,C0707P05-3                    ,0,5
A,C0707P05-3                    ,0,20
Btg3,C0707P05-3                    ,70,85
2C,C0707P05-3                    ,85,100
Btg1,C0707P05-3                    ,20,55
A2,C0707P05-3                    ,5,20
A2,C0707P05-5                    ,5,16
Btg3,C0707P05-5                    ,55,85
Btg2,C0707P05-5                    ,31,55
Btg1,C0707P05-5                    ,16,31
C,C0707P05-5                    ,85,100
A,C0707P05-5                    ,0,16
A1,C0707P05-5                    ,0,5
C,C0707W05-4                    ,56,100
Bt2,C0707W05-4                    ,26,56
A2,C0707W05-4                    ,5,14
Bt1,C0707W05-4                    ,14,26
A1,C0707W05-4                    ,0,5
A,C0707W05-4                    ,0,14
Bt1,C0707W05-5                    ,30,60
A1,C0707W05-5                    ,0,5
Bt2,C0707W05-5                    ,60,90
A2,C0707W05-5                    ,5,11
AB,C0707W05-5                    ,11,30
A,C0707W05-5                    ,0,11
Cg,C0707W05-5                    ,90,100
C1,C0707X02-4                    ,51,80
Btg2,C0707X02-4                    ,35,51
A1,C0707X02-4                    ,0,5
C2,C0707X02-4                    ,80,100
Btg1,C0707X02-4                    ,20,35
A2,C0707X02-4                    ,5,20
A,C0707X02-4                    ,0,20
A2,S1959ND079762                 ,20,38
2C1,S1959ND079762                 ,96,112
Oe,S1959ND079762                 ,0,5
2C2,S1959ND079762                 ,112,150
Btg,S1959ND079762                 ,65,96
A1,S1959ND079762                 ,5,20
Bt,S1959ND079762                 ,38,65
BCg,S1966MN121954                 ,140,203
Btg2,S1966MN121954                 ,81,140
Btg1,S1966MN121954                 ,56,81
A2,S1966MN121954                 ,38,56
A1,S1966MN121954                 ,0,38
Btg2,S1971MN0831294                ,94,109
Btg3,S1971MN0831294                ,109,137
A3,S1971MN0831294                ,28,43
Cg,S1971MN0831294                ,137,152
Btg1,S1971MN0831294                ,43,94
A1,S1971MN0831294                ,0,15
A2,S1971MN0831294                ,15,28
Btg2,S1971MN1111257                ,81,99
A1,S1971MN1111257                ,18,36
A2,S1971MN1111257                ,36,51
Ap,S1971MN1111257                ,0,18
Btg1,S1971MN1111257                ,51,81
BCg,S1971MN1111257                ,99,152
Bk2,S1992ND023156                 ,50,90
Cg1,S1992ND023156                 ,160,172
A,S1992ND023156                 ,13,40
Bkg1,S1992ND023156                 ,80,107
2Cg2,S1992ND023156                 ,172,330
Bkg2,S1992ND023156                 ,107,160
Bt,S1992ND023156                 ,40,55
Btg,S1992ND023156                 ,55,80
Oa,S1992ND023156                 ,0,13
Bk1,S1992ND023156                 ,25,50
A2,S1993MN111001                 ,15,39
Btg3,S1993MN111001                 ,175,208
A1,S1993MN111001                 ,0,15
Bt2,S1993MN111001                 ,70,97
Btg2,S1993MN111001                 ,136,175
Btg1,S1993MN111001                 ,97,136
Bg,S1993MN111001                 ,208,230
Bt1,S1993MN111001                 ,39,70
Bkg1,S1993MN111002                 ,102,115
Btg2,S1993MN111002                 ,88,102
Bkg3,S1993MN111002                 ,145,180
A2,S1993MN111002                 ,44,67
Btg1,S1993MN111002                 ,67,88
Ap,S1993MN111002                 ,0,14
A1,S1993MN111002                 ,14,44
Bkg2,S1993MN111002                 ,115,145
Oi,S2011ND071001                 ,0,8
Bt1,S2011ND071001                 ,36,46
A,S2011ND071001                 ,26,36
Btg,S2011ND071001                 ,69,87
Cg,S2011ND071001                 ,110,180
BCg,S2011ND071001                 ,87,110
Bt2,S2011ND071001                 ,46,69
Ap,S2011ND071001                 ,8,26
Btg1,S2011ND071002                 ,50,75
Btg2,S2011ND071002                 ,75,92
A,S2011ND071002                 ,21,34
Bt,S2011ND071002                 ,34,50
Ap,S2011ND071002                 ,9,21
Oi,S2011ND071002                 ,0,9
BCg,S2011ND071002                 ,92,150
Btg2,S2015ND093026                 ,75,100
A1,S2015ND093026                 ,2,18
2Cg,S2015ND093026                 ,133,200
Btg1,S2015ND093026                 ,36,75
Oi,S2015ND093026                 ,0,2
BCkg,S2015ND093026                 ,100,133
A2,S2015ND093026                 ,18,36
A,S2015ND093028                 ,5,28
Btg,S2015ND093028                 ,28,53
2BCg,S2015ND093028                 ,105,160
Oi,S2015ND093028                 ,0,5
Bkg,S2015ND093028                 ,53,105
2Cg,S2015ND093028                 ,160,200
A2,S2016ND083001                 ,16,37
Cg1,S2016ND083001                 ,110,148
A3,S2016ND083001                 ,37,45
Cg2,S2016ND083001                 ,148,200
Btg,S2016ND083001                 ,45,60
A1,S2016ND083001                 ,0,16
Bg,S2016ND083001                 ,60,110
Btg2,S2017ND093063                 ,57,80
Btg1,S2017ND093063                 ,40,57
A1,S2017ND093063                 ,0,27
Cg,S2017ND093063                 ,80,100
A2,S2017ND093063                 ,27,40
Bt,S48ND013-P13                  ,51,86
C,S48ND013-P13                  ,117,152
A,S48ND013-P13                  ,0,51
Btk,S48ND013-P13                  ,86,117
