desig,User Pedon ID                 ,Top Depth,Bottom Depth
A,1980ND019008                  ,8,41
C,1980ND019008                  ,81,152
Bt1,1980ND019008                  ,41,61
BC,1980ND043001                  ,107,152
Bt1,1980ND043001                  ,18,46
Bt2,1980ND043001                  ,46,74
Bt3,1980ND043001                  ,74,107
A,1980ND043001                  ,0,18
Btg1,1980SD089311                  ,33,66
Bt,1980SD089311                  ,18,33
Cg,1980SD089311                  ,114,152
A,1980SD089311                  ,0,18
Btg2,1980SD089311                  ,66,114
Btg2,1982MN155040                  ,84,117
Btg1,1982MN155040                  ,41,84
Btg3,1982MN155040                  ,117,152
A,1982MN155040                  ,25,41
Ap,1982MN155040                  ,0,25
BCg,1982SD049310                  ,84,127
Btg1,1982SD049310                  ,15,33
Cg,1982SD049310                  ,127,152
A,1982SD049310                  ,0,15
Btg2,1982SD049310                  ,33,84
C,1983ND019001                  ,117,155
Oe,1983ND019001                  ,0,5
A2,1983ND019001                  ,35,51
Bt1,1983ND019001                  ,51,96
Bt2,1983ND019001                  ,96,117
A1,1983ND019001                  ,5,35
Cg,1983SD013501                  ,137,152
A,1983SD013501                  ,0,20
Bt2,1983SD013501                  ,46,81
Bt3,1983SD013501                  ,81,112
Bk,1983SD013501                  ,112,137
Bt1,1983SD013501                  ,20,46
Btg2,1983SD039003                  ,66,109
A2,1983SD039003                  ,25,43
A1,1983SD039003                  ,0,25
Cg,1983SD039003                  ,109,152
Btg1,1983SD039003                  ,43,66
Cg,1984MN011001                  ,127,152
Btg2,1984MN011001                  ,94,127
A,1984MN011001                  ,20,51
Ap,1984MN011001                  ,0,20
Btg1,1984MN011001                  ,51,94
Btg1,1984MN011517                  ,66,104
Btg2,1984MN011517                  ,104,147
A1,1984MN011517                  ,0,30
Cg,1984MN011517                  ,147,152
A2,1984MN011517                  ,30,66
Cg,1984MN011518                  ,147,200
Btg2,1984MN011518                  ,112,147
Ap,1984MN011518                  ,0,20
A,1984MN011518                  ,20,64
Btg1,1984MN011518                  ,64,112
Btg1,1984MN011521                  ,74,99
Cg,1984MN011521                  ,127,200
A,1984MN011521                  ,20,74
Ap,1984MN011521                  ,0,20
Btg2,1984MN011521                  ,99,127
A,1984MN011525                  ,0,33
Btg,1984MN011525                  ,51,76
Cg2,1984MN011525                  ,127,152
Cg1,1984MN011525                  ,76,127
E,1984MN011525                  ,33,51
Oe,1984ND019002                  ,0,3
A,1984ND019002                  ,3,28
C,1984ND019002                  ,97,153
Bt2,1984ND019002                  ,54,97
Bt1,1984ND019002                  ,28,54
E,1984ND067506                  ,10,25
Bt2,1984ND067506                  ,76,94
C,1984ND067506                  ,94,107
A,1984ND067506                  ,0,10
Bt1,1984ND067506                  ,25,76
Bt2,1984ND067508                  ,51,61
2C1,1984ND067508                  ,61,86
E,1984ND067508                  ,18,25
Bt1,1984ND067508                  ,25,51
2C2,1984ND067508                  ,86,107
A,1984ND067508                  ,0,18
A,1984ND067509                  ,0,13
E,1984ND067509                  ,13,25
Bt2,1984ND067509                  ,38,51
C,1984ND067509                  ,91,107
Bt1,1984ND067509                  ,25,38
Bc,1984ND067509                  ,51,91
Bw2,1984ND067510                  ,81,107
Bt2,1984ND067510                  ,56,66
A,1984ND067510                  ,0,15
E,1984ND067510                  ,15,38
Bt1,1984ND067510                  ,38,56
Bw1,1984ND067510                  ,66,81
Cg,1985ND043309                  ,107,152
Btg1,1985ND043309                  ,18,46
A,1985ND043309                  ,0,18
Btg3,1985ND043309                  ,74,107
Btg2,1985ND043309                  ,46,74
Btg1,1985SD057004                  ,46,71
Cg1,1985SD057004                  ,97,124
A2,1985SD057004                  ,25,46
Cg2,1985SD057004                  ,124,152
A1,1985SD057004                  ,0,25
Btg2,1985SD057004                  ,71,97
2Cg,1986ND093302                  ,91,152
A1,1986ND093302                  ,0,20
A2,1986ND093302                  ,20,41
Bt2,1986ND093302                  ,71,91
Bt1,1986ND093302                  ,41,71
Bg1,1986ND105001                  ,25,35
Cg2,1986ND105001                  ,106,157
A,1986ND105001                  ,5,25
Cg1,1986ND105001                  ,66,106
Bg2,1986ND105001                  ,35,66
O,1986ND105001                  ,0,5
Btg1,1986SD037003                  ,43,69
Btg2,1986SD037003                  ,69,97
A2,1986SD037003                  ,15,43
Cg2,1986SD037003                  ,119,152
Cg1,1986SD037003                  ,97,119
A1,1986SD037003                  ,0,15
A,1987MN011502                  ,13,46
Ap,1987MN011502                  ,0,13
Btkg1,1987MN011502                  ,61,102
Btkg2,1987MN011502                  ,102,150
Btg,1987MN011502                  ,46,61
Oi,1987ND049302                  ,0,2
A1,1987ND049302                  ,2,15
A2,1987ND049302                  ,15,33
Btg,1987ND049302                  ,33,112
BCkg,1987ND049302                  ,112,152
Btg1,1987ND095003                  ,69,94
Cg1,1987ND095003                  ,114,132
Oi,1987ND095003                  ,0,5
Cg2,1987ND095003                  ,132,152
A,1987ND095003                  ,5,13
Btg2,1987ND095003                  ,94,114
Ag,1987ND095003                  ,13,69
A,1987SD077009                  ,0,25
Cg,1987SD077009                  ,122,152
Btg1,1987SD077009                  ,25,43
Btg2,1987SD077009                  ,43,74
Btg3,1987SD077009                  ,74,122
Ap,1988MN111098                  ,0,18
Bt,1988MN111098                  ,69,107
A,1988MN111098                  ,18,69
Cg2,1988MN111098                  ,145,229
Btg,1988MN111098                  ,107,125
Cg1,1988MN111098                  ,125,145
BCg,1988ND061309                  ,76,152
A2,1988ND061309                  ,20,28
Btg,1988ND061309                  ,28,76
A1,1988ND061309                  ,0,20
Btg1,1989MN167500                  ,61,91
E,1989MN167500                  ,51,61
Btg2,1989MN167500                  ,91,152
A,1989MN167500                  ,0,51
Bt,1989ND021302                  ,28,66
A,1989ND021302                  ,15,28
Btg,1989ND021302                  ,66,104
Ap,1989ND021302                  ,0,15
BCg,1989ND021302                  ,104,152
Btg2,1989ND047001                  ,46,132
A,1989ND047001                  ,5,7
E,1989ND047001                  ,7,18
Cg1,1989ND047001                  ,132,173
Btg1,1989ND047001                  ,18,46
Cg2,1989ND047001                  ,173,193
Oi,1989ND047001                  ,0,5
A2,1990ND031301                  ,10,23
2Cg,1990ND031301                  ,112,152
2Btg2,1990ND031301                  ,76,112
2Btg1,1990ND031301                  ,23,76
A1,1990ND031301                  ,0,10
A2,1990ND083306                  ,18,33
A1,1990ND083306                  ,0,18
Bt2,1990ND083306                  ,58,94
Cg,1990ND083306                  ,142,152
Bt1,1990ND083306                  ,33,58
BCg,1990ND083306                  ,94,142
Btg1,1991SD011038                  ,43,69
Btg2,1991SD011038                  ,69,114
A1,1991SD011038                  ,0,25
Cg2,1991SD011038                  ,137,200
A2,1991SD011038                  ,25,43
Cg1,1991SD011038                  ,114,137
Btg2,1991SD115001                  ,41,71
A1,1991SD115001                  ,0,18
Bkg,1991SD115001                  ,104,175
Btg1,1991SD115001                  ,28,41
A2,1991SD115001                  ,18,28
Cg,1991SD115001                  ,175,200
Btg3,1991SD115001                  ,71,104
Btg1,1991SD115023                  ,15,56
Bk,1991SD115023                  ,124,153
A,1991SD115023                  ,0,15
Oi,1991SD115023                  ,5,0
Btg2,1991SD115023                  ,56,124
Btg1,1992ND073011                  ,43,61
A,1992ND073011                  ,18,43
Btg3,1992ND073011                  ,97,152
Ap,1992ND073011                  ,0,18
Btg2,1992ND073011                  ,61,97
A,1992SD025023                  ,0,41
Cg,1992SD025023                  ,112,152
Btg1,1992SD025023                  ,41,58
Btg2,1992SD025023                  ,58,112
A,1994MN151004                  ,25,79
Ap,1994MN151004                  ,0,25
Btg2,1994MN151004                  ,178,203
Btg1,1994MN151004                  ,79,178
Btg1,1994MN151005                  ,36,89
A,1994MN151005                  ,25,36
Btg2,1994MN151005                  ,89,99
Ap,1994MN151005                  ,0,25
Cg,1994MN151005                  ,99,203
Btg1,1994MN151013                  ,46,74
Btg2,1994MN151013                  ,74,203
A,1994MN151013                  ,25,46
Ap,1994MN151013                  ,0,25
2Cg,1994MN151015                  ,102,203
Ap,1994MN151015                  ,0,28
E,1994MN151015                  ,28,38
Btg1,1994MN151015                  ,38,64
Btg2,1994MN151015                  ,64,102
2Btg4,1994MN151031                  ,142,203
A,1994MN151031                  ,28,76
Btg1,1994MN151031                  ,76,102
Btg2,1994MN151031                  ,102,122
Ap,1994MN151031                  ,0,28
Btg3,1994MN151031                  ,122,142
2Cg2,1995MN151016                  ,155,203
A1,1995MN151016                  ,25,53
Ap,1995MN151016                  ,0,25
Btg,1995MN151016                  ,89,137
2Cg1,1995MN151016                  ,137,155
A2,1995MN151016                  ,53,89
E,1995MN151018                  ,36,76
A,1995MN151018                  ,25,36
2Cg,1995MN151018                  ,119,203
Ap,1995MN151018                  ,0,25
Btg,1995MN151018                  ,76,119
Btg1,1995MN151029                  ,43,74
Ap,1995MN151029                  ,0,25
Btg2,1995MN151029                  ,74,137
2Cg,1995MN151029                  ,137,203
A,1995MN151029                  ,25,43
A2,1995MN151035                  ,61,86
Btg,1995MN151035                  ,86,132
Ap,1995MN151035                  ,0,25
A1,1995MN151035                  ,25,61
Cg,1995MN151035                  ,132,203
Ap,1995MN151039                  ,0,25
2Cg,1995MN151039                  ,135,203
Btg1,1995MN151039                  ,56,81
Btg2,1995MN151039                  ,81,102
Btg3,1995MN151039                  ,102,135
A,1995MN151039                  ,25,56
Ap,1995MN151040                  ,0,23
Btg1,1995MN151040                  ,46,79
2Cg,1995MN151040                  ,104,203
Btg2,1995MN151040                  ,79,104
A,1995MN151040                  ,23,46
2Cg1,1995MN151053                  ,76,127
2Cg2,1995MN151053                  ,127,203
Btg1,1995MN151053                  ,43,61
Ap,1995MN151053                  ,0,20
Btg2,1995MN151053                  ,61,76
A,1995MN151053                  ,20,43
A,1995MN151060                  ,0,61
Btg,1995MN151060                  ,61,102
2Cg,1995MN151060                  ,102,203
A,1995MN151067                  ,25,43
E,1995MN151067                  ,43,53
Ap,1995MN151067                  ,0,25
2Btg,1995MN151067                  ,53,76
2Cg,1995MN151067                  ,76,203
Ap,1997MN073500                  ,0,25
Btg1,1997MN073500                  ,46,69
Btg3,1997MN073500                  ,97,152
A,1997MN073500                  ,25,46
Btg2,1997MN073500                  ,69,97
Ap,1998MN151167                  ,0,28
2Cg,1998MN151167                  ,89,203
Btg2,1998MN151167                  ,64,89
Btg1,1998MN151167                  ,28,64
Cg,2001MN111500                  ,127,152
A,2001MN111500                  ,23,46
Btg1,2001MN111500                  ,46,81
Ap,2001MN111500                  ,0,23
Btg2,2001MN111500                  ,81,107
Btg3,2001MN111500                  ,107,127
A,2005ND101122                  ,3,25
Btg,2005ND101122                  ,25,84
Oe,2005ND101122                  ,0,3
Cg,2005ND101122                  ,84,102
Ap,2006MN083012                  ,0,20
Bg,2006MN083012                  ,56,152
A,2006MN083012                  ,20,56
Bg,2006MN083085                  ,89,124
Ag,2006MN083085                  ,64,89
A,2006MN083085                  ,20,64
Cg,2006MN083085                  ,124,152
Ap,2006MN083085                  ,0,20
Btg,2006MN173001                  ,64,112
Bkg,2006MN173001                  ,112,158
A,2006MN173001                  ,25,64
Ap,2006MN173001                  ,0,25
Cg,2006MN173001                  ,158,203
Btg,2007MN073108                  ,46,122
A,2007MN073108                  ,25,46
Ap,2007MN073108                  ,0,25
Cg,2007MN073108                  ,122,152
A1,2007MN073122                  ,0,25
A2,2007MN073122                  ,0,25
Cg,2007MN073122                  ,132,152
Btg,2007MN073122                  ,71,132
Bt1,2007MN073143                  ,56,89
AB,2007MN073143                  ,33,56
Ap,2007MN073143                  ,0,33
C,2007MN073143                  ,89,102
A1,2007MN073145                  ,0,25
Cg,2007MN073145                  ,117,152
A2,2007MN073145                  ,25,66
Btg2,2007MN073145                  ,86,117
Btg1,2007MN073145                  ,66,89
Cg,2007MN073180                  ,99,152
Bt1,2007MN073180                  ,43,61
Bt2,2007MN073180                  ,61,74
A,2007MN073180                  ,25,43
Ap,2007MN073180                  ,0,25
Bt3,2007MN073180                  ,74,99
Btg1,2007MN073193                  ,46,69
A,2007MN073193                  ,25,46
BC,2007MN073193                  ,97,152
Ap,2007MN073193                  ,0,25
Btg2,2007MN073193                  ,69,97
Btg1,2016SD089166                  ,56,81
Btg2,2016SD089166                  ,81,140
A2,2016SD089166                  ,38,56
A1,2016SD089166                  ,0,38
BCg,2016SD089166                  ,140,152
Oe,2017MT091008                  ,0,4
Bt,2017MT091008                  ,18,50
A,2017MT091008                  ,4,18
2Cg2,2018MN011020                  ,110,150
2Cg1,2018MN011020                  ,80,110
Bw,2018MN011020                  ,21,45
Bg1,2018MN011020                  ,45,65
Ap,2018MN011020                  ,0,12
2Bg2,2018MN011020                  ,65,80
Bt,2018MN011020                  ,12,21
Bkg,2018MN111061                  ,70,150
Bt,2018MN111061                  ,25,33
Btg,2018MN111061                  ,33,45
Btkg,2018MN111061                  ,45,70
Ap,2018MN111061                  ,0,25
Ap,2018ND029002                  ,0,20
Bt2,2018ND029002                  ,65,102
Bt1,2018ND029002                  ,20,65
Bt2,2018ND029003                  ,62,105
Ap,2018ND029003                  ,0,26
Bt1,2018ND029003                  ,26,62
Ap,2018ND029004                  ,0,23
Bt2,2018ND029004                  ,52,102
Bt1,2018ND029004                  ,23,52
Bt2,2018ND093004                  ,91,105
Bt1,2018ND093004                  ,68,91
A,2018ND093004                  ,24,68
Ap,2018ND093004                  ,0,24
Bt,2018ND093006                  ,68,105
A,2018ND093006                  ,0,68
Bt,2018ND101004                  ,18,70
Ap,2018ND101004                  ,0,18
Bk,2018ND101004                  ,70,150
Bk,2018ND101005                  ,70,99
Ap,2018ND101005                  ,0,24
Bt,2018ND101005                  ,24,70
Bt2,2018SD045002                  ,101,200
Ap,2018SD045002                  ,0,48
Bt1,2018SD045002                  ,48,101
Bt,2018SD045014                  ,40,105
Ap,2018SD045014                  ,0,40
Bt,2018SD089011                  ,42,102
Ap,2018SD089011                  ,0,42
Bt1,2018SD089012                  ,25,75
Ap,2018SD089012                  ,0,25
Bt2,2018SD089012                  ,75,105
Btg,2018SD129004                  ,30,103
Ap,2018SD129004                  ,0,30
A,2019ND005110                  ,3,40
Btg,2019ND005110                  ,40,90
Oa,2019ND005110                  ,0,3
Btg1,2019ND005180                  ,34,50
A,2019ND005180                  ,3,34
Oa,2019ND005180                  ,0,3
Btg2,2019ND005180                  ,50,107
Btg1,2019ND063001                  ,25,88
Btg2,2019ND063001                  ,88,100
Ap,2019ND063001                  ,0,25
Ap,2019ND071030                  ,10,35
Oe,2019ND071030                  ,0,10
Bt,2019ND071030                  ,35,60
Cg,2019ND071142                  ,60,100
Ag2,2019ND071142                  ,20,50
Ag1,2019ND071142                  ,0,20
Ag3,2019ND071142                  ,50,60
A2,2019ND079010                  ,50,98
A1,2019ND079010                  ,0,50
Bg,2019ND079010                  ,98,100
A2,2019ND079052                  ,35,58
Oa,2019ND079052                  ,0,8
A3,2019ND079052                  ,58,71
Cg,2019ND079052                  ,71,110
A1,2019ND079052                  ,8,35
A,2019ND079132                  ,0,45
Btg,2019ND079132                  ,45,95
A2,2019ND095261                  ,20,45
A1,2019ND095261                  ,0,20
Cg,2019ND095261                  ,90,110
Bg,2019ND095261                  ,45,90
Btg,2019ND095270                  ,30,51
Cg,2019ND095270                  ,51,110
A,2019ND095270                  ,0,30
Ag1,2020ND015011                  ,8,23
Oe,2020ND015011                  ,0,8
Ag3,2020ND015011                  ,40,100
Ag2,2020ND015011                  ,23,40
A,2020ND019011                  ,0,20
Bkg1,2020ND019011                  ,40,55
Bkg2,2020ND019011                  ,55,100
Bt,2020ND019011                  ,20,40
Bt1,2020ND019012                  ,59,83
Btk,2020ND019012                  ,13,59
Bt2,2020ND019012                  ,83,100
A,2020ND019012                  ,0,13
Btg1,2020ND023040                  ,30,95
A,2020ND023040                  ,0,30
Btg2,2020ND023040                  ,95,110
Btg2,2020ND023042                  ,80,100
Oa,2020ND023042                  ,0,8
A,2020ND023042                  ,8,29
Btg1,2020ND023042                  ,29,80
Bt1,2020ND023060                  ,30,60
Bt3,2020ND023060                  ,90,120
Ck,2020ND023060                  ,150,200
A,2020ND023060                  ,0,30
BC,2020ND023060                  ,120,150
Bt2,2020ND023060                  ,60,90
Btg1,2020ND023070                  ,38,68
BCg,2020ND023070                  ,104,120
Oa,2020ND023070                  ,0,4
A,2020ND023070                  ,4,38
Btg2,2020ND023070                  ,68,104
C,2020ND023080                  ,90,150
Btg1,2020ND023080                  ,30,65
Btg2,2020ND023080                  ,65,90
A,2020ND023080                  ,0,30
A1,2020ND023082                  ,0,24
Btg1,2020ND023082                  ,42,70
Btg2,2020ND023082                  ,70,125
A2,2020ND023082                  ,24,42
Bt2,2020ND023102                  ,70,100
BC,2020ND023102                  ,100,150
A,2020ND023102                  ,0,30
Bt1,2020ND023102                  ,30,70
Bt2,2020ND023122                  ,60,80
Bt1,2020ND023122                  ,35,60
Bk,2020ND023122                  ,80,120
A,2020ND023122                  ,0,35
E,2020ND023130                  ,15,30
Bt2,2020ND023130                  ,55,83
Cg,2020ND023130                  ,83,155
BE,2020ND023130                  ,30,42
Bt1,2020ND023130                  ,42,55
Oi,2020ND023130                  ,0,5
A,2020ND023130                  ,5,15
Oi,2020ND023131                  ,0,2
Bt,2020ND023131                  ,36,46
E,2020ND023131                  ,15,36
Cyg,2020ND023131                  ,93,111
Cg,2020ND023131                  ,46,93
A,2020ND023131                  ,2,15
Bt,2020ND023132                  ,29,60
AE,2020ND023132                  ,4,12
BE,2020ND023132                  ,12,29
Cg,2020ND023132                  ,60,110
Oi,2020ND023132                  ,0,4
Ez,2020ND023142                  ,20,37
Cyzg,2020ND023142                  ,90,115
Btyz,2020ND023142                  ,64,90
